,card,merchant,category,amount,transaction_date
3717-349338-18135#2024-01-18T18:03:45.117Z,3717-349338-18135,"Wilkinson, Will and Schuppe",Transportation,850.00,2024-01-18T18:03:45.117Z
670670901277680078#2024-01-30T09:55:05.274Z,670670901277680078,Windler Group,Food & Drink,1356.00,2024-01-30T09:55:05.274Z
6771-8974-5217-1724#2024-01-27T09:11:21.329Z,6771-8974-5217-1724,Kutch Inc,Transportation,1843.00,2024-01-27T09:11:21.329Z
6388-0134-8242-1825#2024-01-29T02:39:34.330Z,6388-0134-8242-1825,Stroman - Marquardt,Groceries,2187.00,2024-01-29T02:39:34.330Z
3437-305893-44538#2024-01-25T22:38:14.953Z,3437-305893-44538,"Friesen, Aufderhar and Sawayn",Fashion,1484.00,2024-01-25T22:38:14.953Z
6771-8958-7718-6954#2024-01-05T11:05:30.761Z,6771-8958-7718-6954,Wintheiser - Rutherford,Food & Drink,864.00,2024-01-05T11:05:30.761Z
6759-9289-5832-4989-52#2024-01-10T12:57:50.083Z,6759-9289-5832-4989-52,"Brekke, Hansen and Haley",Online Retail,703.00,2024-01-10T12:57:50.083Z
6771-8974-2275-6380#2024-01-13T01:49:55.621Z,6771-8974-2275-6380,Paucek - Yundt,Transportation,1197.00,2024-01-13T01:49:55.621Z
6759-2472-1773-6997#2024-01-06T03:58:16.458Z,6759-2472-1773-6997,Corwin Inc,Online Retail,2386.00,2024-01-06T03:58:16.458Z
6771574575855335060#2024-01-23T05:10:40.017Z,6771574575855335060,"Morissette, Conn and Schumm",Online Retail,392.00,2024-01-23T05:10:40.017Z
6759-1750-1423-4447#2024-01-07T09:52:18.565Z,6759-1750-1423-4447,"Daniel, Beier and Gusikowski",Transportation,732.00,2024-01-07T09:52:18.565Z
4398702214697#2024-01-28T09:38:08.928Z,4398702214697,Feest - Hodkiewicz,Fashion,1843.00,2024-01-28T09:38:08.928Z
4366-9893-4970-3920#2024-01-03T10:39:54.499Z,4366-9893-4970-3920,Berge - Welch,Groceries,1375.00,2024-01-03T10:39:54.499Z
6759-7254-4775-6695#2024-01-26T22:38:43.253Z,6759-7254-4775-6695,Towne Inc,Transportation,470.00,2024-01-26T22:38:43.253Z
6583-9301-2793-2721#2024-01-12T01:33:22.493Z,6583-9301-2793-2721,"Monahan, Ryan and Doyle",Groceries,2743.00,2024-01-12T01:33:22.493Z
6767-5296-0749-8624-859#2024-01-14T20:51:43.111Z,6767-5296-0749-8624-859,Miller Group,Food & Drink,2271.00,2024-01-14T20:51:43.111Z
5418-8290-0112-9011#2024-01-11T03:43:43.536Z,5418-8290-0112-9011,"Rogahn, Purdy and Wolf",Groceries,1009.00,2024-01-11T03:43:43.536Z
3031-676573-5448#2024-01-08T09:47:20.245Z,3031-676573-5448,Weimann LLC,Transportation,1633.00,2024-01-08T09:47:20.245Z
5296-5533-7774-2747#2024-01-04T12:00:29.167Z,5296-5533-7774-2747,"Bruen, Aufderhar and Cartwright",Groceries,1250.00,2024-01-04T12:00:29.167Z
6767-7470-8894-7060-654#2024-01-21T06:06:17.741Z,6767-7470-8894-7060-654,Reynolds and Sons,Online Retail,376.00,2024-01-21T06:06:17.741Z
5424-6766-4735-5126#2024-01-21T23:34:24.927Z,5424-6766-4735-5126,"Erdman, Kulas and Dietrich",Groceries,686.00,2024-01-21T23:34:24.927Z
6391-5988-0594-6545#2024-01-16T02:40:15.775Z,6391-5988-0594-6545,"O'Keefe, Daugherty and Hayes",Transportation,805.00,2024-01-16T02:40:15.775Z
5480-9785-2621-8990#2024-01-05T00:12:10.714Z,5480-9785-2621-8990,Dibbert - Block,Transportation,1765.00,2024-01-05T00:12:10.714Z
670656286911948042#2024-01-16T01:54:24.958Z,670656286911948042,Nolan - Marvin,Fashion,2458.00,2024-01-16T01:54:24.958Z
6771598839034649#2024-01-13T23:25:38.102Z,6771598839034649,"Abshire, Stark and Heller",Fashion,2982.00,2024-01-13T23:25:38.102Z
3709-075330-38228#2024-01-11T10:57:43.921Z,3709-075330-38228,Leannon and Sons,Transportation,2178.00,2024-01-11T10:57:43.921Z
6447-6254-8974-2277-1227#2024-01-10T00:33:37.104Z,6447-6254-8974-2277-1227,Sawayn - McDermott,Food & Drink,1798.00,2024-01-10T00:33:37.104Z
6396-4280-7989-3006#2024-01-12T19:02:52.022Z,6396-4280-7989-3006,Swaniawski - Windler,Online Retail,2378.00,2024-01-12T19:02:52.022Z
3529-8552-8364-6795#2024-01-07T11:18:06.127Z,3529-8552-8364-6795,"Steuber, Greenfelder and Harber",Transportation,1307.00,2024-01-07T11:18:06.127Z
6706678454890726108#2024-01-18T19:29:17.324Z,6706678454890726108,"Beatty, Cole and Bahringer",Groceries,1363.00,2024-01-18T19:29:17.324Z
