,card,merchant,category,amount,transaction_date
5458-6484-7518-3838#2023-01-13T17:19:08.816Z,5458-6484-7518-3838,Ernser and Sons,Online Retail,1375.00,2023-01-13T17:19:08.816Z
5568-4921-2510-7963#2023-02-12T10:25:21.067Z,5568-4921-2510-7963,Wilderman LLC,Transportation,2180.00,2023-02-12T10:25:21.067Z
6771-8956-8091-0673#2023-03-17T01:35:06.848Z,6771-8956-8091-0673,Runolfsson - Russel,Online Retail,1411.00,2023-03-17T01:35:06.848Z
5893-3061-8774-6714#2023-10-07T05:11:48.201Z,5893-3061-8774-6714,Gleason Group,Food & Drink,1628.00,2023-10-07T05:11:48.201Z
6011-7037-1705-5928#2023-06-12T07:23:30.541Z,6011-7037-1705-5928,VonRueden Group,Fashion,2338.00,2023-06-12T07:23:30.541Z
676304774391849577#2023-03-22T00:27:47.989Z,676304774391849577,Keebler - Abernathy,Food & Drink,171.00,2023-03-22T00:27:47.989Z
5467-3238-3013-5449#2023-10-11T08:50:34.911Z,5467-3238-3013-5449,"Mitchell, Ryan and Leffler",Fashion,1117.00,2023-10-11T08:50:34.911Z
3534-7147-8404-9566#2023-11-15T22:15:02.437Z,3534-7147-8404-9566,Ledner Inc,Transportation,1687.00,2023-11-15T22:15:02.437Z
3023-700934-7537#2023-11-25T17:39:40.045Z,3023-700934-7537,"Stracke, Sawayn and Dooley",Fashion,2154.00,2023-11-25T17:39:40.045Z
3573-5866-0631-6221#2023-01-14T08:52:59.228Z,3573-5866-0631-6221,Tromp LLC,Fashion,1156.00,2023-01-14T08:52:59.228Z
670989585377272609#2023-08-25T21:17:43.220Z,670989585377272609,"Jacobi, Effertz and Gerhold",Fashion,1923.00,2023-08-25T21:17:43.220Z
3665-092357-1772#2023-02-22T01:16:50.286Z,3665-092357-1772,Leuschke Inc,Food & Drink,2059.00,2023-02-22T01:16:50.286Z
3529-2502-5966-1442#2023-04-30T18:21:23.100Z,3529-2502-5966-1442,"Collier, Ziemann and Keeling",Groceries,45.00,2023-04-30T18:21:23.100Z
6576-2732-1005-8933#2023-01-18T01:04:52.377Z,6576-2732-1005-8933,"Nolan, Schaden and Simonis",Online Retail,1696.00,2023-01-18T01:04:52.377Z
6011-6298-3765-0392-3613#2023-09-25T16:18:49.410Z,6011-6298-3765-0392-3613,Berge and Sons,Groceries,2841.00,2023-09-25T16:18:49.410Z
6709515381393546652#2023-12-11T23:28:40.364Z,6709515381393546652,Schinner - Bailey,Groceries,468.00,2023-12-11T23:28:40.364Z
676110171243349795#2023-10-22T13:12:29.333Z,676110171243349795,Spencer - Rempel,Fashion,1029.00,2023-10-22T13:12:29.333Z
6482-0570-8556-0831#2023-04-21T18:16:05.448Z,6482-0570-8556-0831,Russel Inc,Online Retail,2755.00,2023-04-21T18:16:05.448Z
4254411647372#2023-11-27T05:25:45.486Z,4254411647372,"Blick, Rogahn and Cremin",Food & Drink,1960.00,2023-11-27T05:25:45.486Z
